Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt
0.0,-0.334467351436615,0.14742381870746613,0.11506828665733337,0.031582266092300415,0.6889660358428955,0.09752337634563446,0.7700319886207581,0.03037712350487709,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.01,-0.2792263925075531,-0.09223766624927521,0.06790923327207565,0.11732692271471024,0.8831064701080322,-0.30306941270828247,0.5480208992958069,0.06264028698205948,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.02,-0.16455194354057312,0.09993770718574524,-0.034035537391901016,0.038077592849731445,0.780574381351471,-0.16653837263584137,0.622058093547821,0.34239742159843445,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.03,-0.07612072676420212,0.004727129824459553,0.00482427841052413,0.0522565059363842,0.7265691757202148,-0.16003349423408508,0.604343831539154,0.3211057782173157,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.04,-0.09193155169487,0.0754246860742569,-0.012503123842179775,-0.00356497336179018,0.710524320602417,-0.0998162180185318,0.6267058253288269,0.2892092168331146,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.05,-0.10208918899297714,0.031112393364310265,0.0022227924782782793,0.03645912930369377,0.7238196134567261,-0.10132202506065369,0.6297621726989746,0.2160043865442276,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.06,-0.12957526743412018,0.049045074731111526,0.0051871701143682,0.014607219956815243,0.7367724180221558,-0.12150588631629944,0.6282853484153748,0.188018336892128,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.07,-0.12663622200489044,0.03295345604419708,-0.002033396391198039,0.03664170950651169,0.7478203773498535,-0.12200312316417694,0.6295062899589539,0.17585627734661102,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.08,-0.13001233339309692,0.04050598293542862,0.004456402268260717,0.024636834859848022,0.744633138179779,-0.12877100706100464,0.6247434616088867,0.1774013340473175,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.09,-0.13124124705791473,0.035213228315114975,0.0002199498121626675,0.03149566426873207,0.7476887106895447,-0.12244349718093872,0.6245526671409607,0.17878900468349457,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.1,-0.1373552680015564,0.03817165642976761,0.005679802503436804,0.02851475030183792,0.7470238208770752,-0.12366539239883423,0.6194906234741211,0.1858406960964203,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.11,-0.14349164068698883,0.03505150228738785,0.006131743546575308,0.03247635066509247,0.7497025728225708,-0.12189771234989166,0.6153993010520935,0.19857418537139893,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.12,-0.15136687457561493,0.036671046167612076,0.01067392248660326,0.033017534762620926,0.7508165836334229,-0.12117719650268555,0.6082884669303894,0.2199254035949707,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.13,-0.1604706197977066,0.03537513688206673,0.014497839845716953,0.036213990300893784,0.751928448677063,-0.11943034827709198,0.5999948382377625,0.2495194524526596,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.14,-0.17107219994068146,0.03685329481959343,0.019779549911618233,0.038033582270145416,0.7516577839851379,-0.1174500435590744,0.5894306302070618,0.2901492714881897,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.15,-0.18198278546333313,0.036544494330883026,0.025283733382821083,0.04145382344722748,0.7508304119110107,-0.11514845490455627,0.5771697163581848,0.3418617248535156,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.16,-0.19406791031360626,0.03816845268011093,0.03127634525299072,0.043612223118543625,0.7500253319740295,-0.11249290406703949,0.5631832480430603,0.40618109703063965,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.17,-0.20802085101604462,0.04039360582828522,0.03715638071298599,0.04612990468740463,0.7497305870056152,-0.10663613677024841,0.5474982857704163,0.4819343090057373,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.18,-0.22692954540252686,0.04400866478681564,0.04630649834871292,0.04822993651032448,0.7491406798362732,-0.09893752634525299,0.530927836894989,0.5683469176292419,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.19,-0.2467757761478424,0.049783192574977875,0.05777394026517868,0.05186380445957184,0.7485513687133789,-0.09164999425411224,0.5148834586143494,0.664813756942749,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.2,-0.2632862627506256,0.0565665140748024,0.07245580106973648,0.053781818598508835,0.7522244453430176,-0.08909408748149872,0.5014193058013916,0.7604203820228577,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.21,-0.2777494788169861,0.05933639779686928,0.0932556539773941,0.05058136209845543,0.7651976943016052,-0.08636011183261871,0.4932789206504822,0.8437364101409912,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.22,-0.2933918833732605,0.06487862765789032,0.11641060560941696,0.04844865947961807,0.7759715914726257,-0.07578335702419281,0.4851553440093994,0.9042256474494934,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.23,-0.31751132011413574,0.0658147782087326,0.14051838219165802,0.04654034972190857,0.7950401306152344,-0.07273899018764496,0.48162776231765747,0.9449396133422852,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.24,-0.3424122631549835,0.06878135353326797,0.16192150115966797,0.04832076653838158,0.8160314559936523,-0.07019388675689697,0.4794342815876007,0.9691246747970581,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.25,-0.36490070819854736,0.06788845360279083,0.18180865049362183,0.05009779334068298,0.8331438302993774,-0.07303078472614288,0.47562938928604126,0.9836676120758057,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.26,-0.3846528232097626,0.06795910745859146,0.19476211071014404,0.05117473751306534,0.8504120111465454,-0.07445481419563293,0.4737696647644043,0.9954643249511719,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.27,-0.4001549184322357,0.06820034235715866,0.20742285251617432,0.05287384241819382,0.8630092144012451,-0.07490724325180054,0.4706966280937195,1.0045480728149414,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.28,-0.41551923751831055,0.06753809750080109,0.21851710975170135,0.053616009652614594,0.8749724626541138,-0.0758146345615387,0.46830350160598755,1.0125502347946167,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.29,-0.4302632212638855,0.0682380199432373,0.22887790203094482,0.05518593639135361,0.8870696425437927,-0.07567194104194641,0.46604713797569275,1.019386887550354,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.3,-0.4447653889656067,0.06774857640266418,0.2397560030221939,0.056706879287958145,0.8984461426734924,-0.07682383060455322,0.4634793698787689,1.0252645015716553,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.31,-0.4589739441871643,0.0676065981388092,0.250038206577301,0.057951584458351135,0.9103305339813232,-0.07754041254520416,0.4616006016731262,1.0311264991760254,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.32,-0.47267502546310425,0.06758072972297668,0.26049771904945374,0.059533338993787766,0.9214515089988708,-0.07762503623962402,0.459140419960022,1.036155104637146,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
0.33,-0.48802292346954346,0.06760157644748688,0.2713123857975006,0.0610976405441761,0.933742105960846,-0.07821284234523773,0.4569036364555359,1.0416158437728882,-2.766744845337304,-0.014342468319665264,-0.3437296060120633
